DATE,DEXCHUS
2/9/12,6.2947
2/10/12,6.2991
2/13/12,6.2972
2/14/12,6.2995
2/15/12,6.2998
2/16/12,6.3014
2/17/12,6.2985
2/21/12,6.296
2/22/12,6.296
2/23/12,6.298
2/24/12,6.2976
2/27/12,6.3012
2/28/12,6.2989
2/29/12,6.2935
3/1/12,6.3001
3/2/12,6.2982
3/5/12,6.3066
3/6/12,6.3082
3/7/12,6.3097
3/8/12,6.3159
3/9/12,6.3109
3/12/12,6.3258
3/13/12,6.3266
3/14/12,6.3315
3/15/12,6.3282
3/16/12,6.3222
3/19/12,6.3191
3/20/12,6.3203
3/21/12,6.3226
3/22/12,6.299
3/23/12,6.3021
3/26/12,6.3139
3/27/12,6.3061
3/28/12,6.3044
3/29/12,6.3057
3/30/12,6.2975
4/2/12,6.2979
4/3/12,6.2975
4/4/12,6.2975
4/5/12,6.3123
4/9/12,6.31
4/10/12,6.3105
4/11/12,6.3076
4/12/12,6.3069
4/13/12,6.3022
4/16/12,6.315
4/17/12,6.3015
4/18/12,6.3026
4/19/12,6.3029
4/20/12,6.308
4/23/12,6.3084
4/24/12,6.3073
4/25/12,6.3039
4/26/12,6.3054
4/27/12,6.3093
4/30/12,6.279
5/1/12,6.3089
5/2/12,6.307
5/3/12,6.3052
5/4/12,6.3059
5/7/12,6.3074
5/8/12,6.3076
5/9/12,6.3096
5/10/12,6.314
5/11/12,6.3097
5/14/12,6.321
5/15/12,6.3176
5/16/12,6.3227
5/17/12,6.3247
5/18/12,6.3245
5/21/12,6.3277
5/22/12,6.3223
5/23/12,6.3343
5/24/12,6.3449
5/25/12,6.3439
5/29/12,6.3478
5/30/12,6.3574
5/31/12,6.3684
6/1/12,6.3692
6/4/12,6.3641
6/5/12,6.367
6/6/12,6.3634
6/7/12,6.3634
6/8/12,6.37
6/11/12,6.369
6/12/12,6.3703
6/13/12,6.3685
6/14/12,6.3702
6/15/12,6.3649
6/18/12,6.3539
6/19/12,6.3542
6/20/12,6.3597
6/21/12,6.3644
6/22/12,6.3644
6/25/12,6.3631
6/26/12,6.3626
6/27/12,6.3561
6/28/12,6.357
6/29/12,6.353
7/2/12,6.3487
7/3/12,6.3519
7/5/12,6.3557
7/6/12,6.364
7/9/12,6.3709
7/10/12,6.3654
7/11/12,6.3682
7/12/12,6.3732
7/13/12,6.3789
7/16/12,6.3784
7/17/12,6.3725
7/18/12,6.369
7/19/12,6.3724
7/20/12,6.3734
7/23/12,6.3856
7/24/12,6.3857
7/25/12,6.3879
7/26/12,6.3839
7/27/12,6.3807
7/30/12,6.3792
7/31/12,6.361
8/1/12,6.368
8/2/12,6.3671
8/3/12,6.3721
8/6/12,6.3738
8/7/12,6.3664
8/8/12,6.361
8/9/12,6.3579
8/10/12,6.3599
8/13/12,6.3611
8/14/12,6.3586
8/15/12,6.3619
8/16/12,6.3659
8/17/12,6.358
8/20/12,6.3592
8/21/12,6.3559
8/22/12,6.3515
8/23/12,6.3535
8/24/12,6.3542
